㐀	⿱⿰↔⺊⺊一
𢄺	⿰巾⿱隹灬
𢄻	⿰巾⿰⿱⿱⿻一⿰丨丨一⺝攵
𢄼	⿱⿰彡頁巾
𢄽	⿰巾⿹⿺⿻㇐㇂丶⿱二貝
𢄾	⿰⿱⿱日一⿱一巾⿱夕巾
𢄿	⿳石巾
𢅀	⿰巾⿱⿱一⿻口⿰丨丨⿱日十
𢅁	⿰⿱爫子⿱白巾
𢅂	⿰巾⿹⿻弓⿱工工口
𢅃	⿰巾⿳⿰⿱一口⿱丶几
𢅄	⿰⿱罒去⿸⿻一丿巾
𢅅	⿰巾⿸厂⿰⿱䒑⿻凵丿欠
𢅆	⿰巾⿱艹⿰日月
𢅇	⿰⿱山巾⿱出毛
𢅈	⿱⿱亠巾⿰⿱亠巾⿱亠巾
𢅉	⿰⿱白巾⿱白儿
𢅊	⿱⿱灬巾
𢅋	⿰巾⿱丷⿱⿻⿴囗丨丷日
𢅌	⿱⿱爫⿵⿰丿⿳𠃍𠃍𠃌灬巾
𢅍	⿱⿱⿱士冖石⿱大巾
𢅎	⿰巾⿰⿱白方攵
𢅏	⿰巾⿸广⿱丷⿻⿳一八⿰丨丨
𢅐	⿰巾⿳吅从
𢅑	⿰巾⿱⿰⿱⺈𫜹攵灬
𢅒	⿰巾⿱⿱亠⿴囗口⿱日一
𢅓	⿳⿱艹罒戈巾
𢅔	⿰巾⿱艹⿱⿻土㇒日
𢅕	⿰巾⿺辶⿱丷豕
𢅖	⿰巾⿸⿳亠丷厂⿻⿱八⿰丨丨
𢅗	⿰巾⿺辶⿵⿱冂口
𢅘	⿰巾⿳⿱艹罒冖几
𢅙	⿰巾⿱⿻⿳一冂𠆢丨貝
𢅚	⿰巾⿰⿱⿱一⿻口⿰丨丨示刂
𢅛	⿰⿱巾⿻⿸⿺⿻一丿丶⿻乚㇒⿱㇒㇒
𢅜	⿰⿳𫜹冖巾⿳𫜹冖巾
𢅝	⿱⿰⿸尸共殳巾
𢅞	⿰⿱白巾⿱⿰冫⿰亅
𢅟	⿰巾⿰⿱匕矢⿱⿱乛丶⿱乛⿺人⺊
𢅠	⿸⿸厂⿰⿱日⺝犬巾
𢅡	⿰巾⿱⿰⿷匚⿳丨丨⿱𠂉丶皿
𢅢	⿰⿳山一⿱一巾⿱宀⿱火又
𢅣	⿰巾⿳⿱士口冖⿱⿱一厶土
𢅤	⿰巾⿱艹⿱去皿
𢅥	⿰巾⿸厂⿰⿳士口䒑寸
𢅦	⿰⿳𫜹冖巾⿱日⿱一⿺人⺊
𢅧	⿰巾⿰糹⿱白巾
𢅨	⿺⿱日⿱一⿺人⺊⿳𫜹冖巾
𢅩	⿰巾⿱罒⿰⿱厶⺝⿱匕匕
𢅪	⿰巾⿱⿵⿰丿戈⿱⿱⺊一小心
𢅫	⿰巾⿱⿱⿰⿻三丨⿻三丨𫜹心
𢅬	⿰⿱白巾⿱十⿱八
𢅭	⿰巾⿰束⿱⺈貝
𢅮	⿱⿰⿱土⿱火火巾
𢅯	⿰巾⿱⿱大隹田
𢅰	⿰巾⿵門⿱臼儿
𢅱	⿰巾⿱⿹⿻弓⿱工工口灬
𢅲	⿱⿰⿱土⿱丷干⿱火火巾
𢅳	⿰巾⿸⿳亠丷厂⿱丷⿻⿳一八⿰丨丨
𢅴	⿰巾⿳⿱艹罒冖目
𢅵	⿰巾⿳𥫗罒⿰丿戈
𢅶	⿰巾⿳𥫗⿴囗人⿰𠄌戈
𢅷	⿱⿰⿱艹⿻丨⿱丷攵巾
𢅸	⿱⿰⿳吅从攵巾
𢅹	⿰巾⿳⿲口口口⿵冂⿻一⿰丨丨
𢅺	⿰⿱日⿸广⿱⿱⿻一⿰丨丨一巾
𢅻	⿰巾⿱⿰隹隹又
𢅼	⿰巾⿳⿸⿹⿱一自止巳八夊
𢅽	⿰巾⿱⿴𦥑⿱㇒⿴囗㐅⿱一火
𢅾	⿰巾⿱罒⿰糹隹
𢅿	⿰巾⿱大⿰⿱⿱⿻一⿰丨丨一木⿱⿱⿻一⿰丨丨一木
𢆀	⿰巾⿱⿴囗⿱口貝⿱𠆢王
𢆁	⿰巾⿱𥫗⿸广⿱丷⿻⿳一八⿰丨丨
𢆂	⿲巾⿱立⺝⿰⿱⿰⺝刂刂
𢆃	⿰巾⿱丷⿳⿸⿹⿱一自止巳八夊
𢆄	⿰巾⿱艹⿵門⿻木⿴囗丷
𢆅	⿰⿱日⿱⿱艹⿱日大巾
𢆆	⿰巾⿳艹⿲止目巳⿱⿰丿㇅夊
𢆇	⿰⿳白⿰巾⿱⿱⿱士冖石木
𢆈	〾⿱⿲彳韋⿱一丁⿻⿱一巾⿰⿱⿰丿㇇⿻夕丶又
𢆉	⿱丷干
𢆊	⿰⿻干丷丁
𢆋	⿺⿱厶儿干
𢆌	⿱⺊⿸厂干
𢆍	⿻⿱㇒十日
𢆎	⿱⿻大丷干
𢆏	⿰⿱𠂉十⿱亠十
𢆐	⿰⿸⿻一丿⿻二丨干
𢆑	⿱⿲人人人干
𢆒	⿱⿱⺊一⿰干干
𢆓	⿱不⿻干丷
𢆔	⿱吅干
𢆕	⿰⿻干丷⿸⿱㇒丿又
𢆖	⿰⿱⿱一𫝀口干
𢆗	⿰⿱丷⿱一廾⿻丨
𢆘	⿰⿱𠂉欠
𢆙	⿱⿰刀刀⿰干干
𢆚	⿱⿱一廾束
𢆛	⿱⿱一廾⿱丷⿱一廾
𢆜	⿰⿱日⿹勹⿺𠃊人干
𢆝	⿺⿱日⿱一⿺人⺊干
𢆞	⿱⿰干干束
𢆟	⿰由⿱丷⿱一廾
𢆠	⿰⿻木从⿻干丷
𢆡	⿱⿰⿱爫子乚⿱𠂉
𢆢	⿱⿰夕⿷匚⿱丷⿱一廾
𢆣	⿰⿱丷⿱一廾⿱亠⿰亻⿴夂丶
𢆤	⿱⿱⿻丷⿻二人㔾⿱𠂉
𢆥	⿰⿱十⿵冂⿱丷干⿱𠂉
𢆦	⿰⿱罒干⿻木日
𢆧	⿱⿱土⿱丷干⿰木攵
𢆨	⿱⿰木攵⿱土⿱丷干
𢆩	⿱⿰久⿷匚⿰⿱㇒干⿱㇒干
𢆪	⿱⿱土⿱丷干⿰土⿻日土
𢆫	⿰⿱𠂉⿱止⿵⿵⿰丿戈一𣥂
𢆬	⿰⿱束束⿱一廾
𢆭	⿰⿳巛⿴囗㐅⿱𠂉
𢆮	⿰⿻干丷⿱艹⿵⿷匚⿳丨丨
𢆯	⿱幺丨
𢆰	⿱一幺
𢆱	⿹𠃌幺
𢆲	⿱幺力
𢆳	⿰幺⿱乛亅
𢆴	⿰幺↷⿱乛亅
𢆵	⿰幺⿹𠃌㇀
𢆶	⿰幺幺
𢆷	⿰幺少
𢆸	⿺𠃊⿰幺幺
𢆹	⿰幺⿱二厶
𢆺	⿱一⿺⿰⿰𠄌丿乚幺
𢆻	⿱⿰幺幺几
𢆼	⿱⿰幺幺又
𢆽	⿰⿱幺丨少
𢆾	⿰⿱㇒幺⿱㇒幺
𢆿	⿱⿱㇒⿴囗㐅幺
𢇀	⿰幺⿸尸工
𢇁	⿱⿰幺幺灬
𢇂	⿱⿰幺幺廾
𢇃	⿰⿱幺八⿱幺八
𢇄	⿰幺⿰氵少
𢇅	⿱⿰幺幺⿰↔⺊⺊
𢇆	⿱⿱㇒⿴囗㐅⿱幺丨
𢇇	⿱⿰幺幺⿰⿰𠄌丿⿰丨𠃎
𢇈	⿻⿰幺幺⿻大丷
𢇉	⿱⿰幺𠃌⿰文寸
𢇊	⿱⿰⿱刀口阝⿱幺丨
𢇋	⿰⿱幺丨⿱日⿹勹⿺𠃊人
𢇌	⿱⿰彳⿱止⿺人⺊幺
𢇍	⿱⿻𠃎⿰幺幺⿻𠃎⿰幺幺
𢇎	⿰幺⿰扌⿱大⿹丁口
𢇏	⿰⿱爫爪⿰幺幺
𢇐	⿰幺⿻⿱⺈口𧰨
𢇑	⿱⿻山⿰幺幺⿰幺幺
𢇒	⿰⿻人⿱⺊乙
𢇓	⿰⿻人⿱𠂉乙
𢇔	⿱⿰幺力⿱日⿱亠⿱口小
𢇕	⿱⿻山⿰幺幺⿻山⿰幺幺
𢇖	⿳⿰幺幺⿱亠⿶凵㐅⿲犭⿱㇒大↔犭
𢇗	⿸广⿱一卜
𢇘	⿸广女
𢇙	⿸广⿺⿻㇐㇂丶
𢇚	⿸广⿻乜丨
𢇛	⿸广干
𢇜	⿸广⿱亠𠃊
𢇝	⿸广幺
𢇞	⿸广口
𢇟	⿸广⿱一儿
𢇠	⿸广
𢇡	⿸广⿱一⿱一㇉
𢇢	⿸广山
𢇣	⿸广欠
𢇤	⿸广水
𢇥	⿸广⿱九十
𢇦	⿸广⿱㇒士
𢇧	⿸广⿸⿻冖丿乚
𢇨	⿸广⿱一幺
𢇩	⿸广⿱一廾
𢇪	⿸广⿸⿱㇒丿又
𢇫	⿸广⿱㇒⿱丶
𢇬	⿸广⿸⿻一丿又
𢇭	⿸广⿻⿰丶丶？
𢇮	⿸广攴
𢇯	⿸广⿰亻又
𢇰	⿸广⿱厶儿
𢇱	⿸广⿱八⿱一㇉
𢇲	⿸广禾
𢇳	⿸广皮
𢇴	⿸广⿸⿻一丿巾
𢇵	⿸广⿴囗又
𢇶	⿸广田
𢇷	⿸广⿺⿸⿻一丿又丶
𢇸	⿸广⿻⿱⿻一⿰丨丨一𠃊
𢇹	⿸广⿱㇒⿺⿱丨一⿱一丨
𢇺	⿸广⿵冂口
𢇻	⿸广矢
𢇼	⿸广⿰氏乚
𢇽	⿸广⿱士又
𢇾	⿸广⿴⿱⿻一⿰丨丨一一
𢇿	⿸广出
𢈀	⿸广⿱⿻⿰丨丨丷一
𢈁	⿸广⿱𠆢口
𢈂	⿸广⿰丨⿱
𢈃	⿸广⿰山匕
𢈄	⿸广⿰亻
𢈅	⿸广瓜
𢈆	⿸广⿱刀口
𢈇	⿸广⿱⿰㇒土儿
𢈈	⿸广合
𢈉	⿸广⿵冂⿱一口
𢈊	⿸广缶
𢈋	⿸广⿱厶⺝
𢈌	⿸广⿸⿱⺈厂㔾
𢈍	⿸广米
𢈎	⿸广共
𢈏	⿸广⿱⿻丨八
𢈐	⿸广⿱⿱⿻一⿰丨丨一几
𢈑	⿸广⿺九分
𢈒	⿸广⿱艹乂
𢈓	⿸广⿸⿻一丿⺝
𢈔	⿸广
𢈕	⿸广⿸⿱㇒丿
𢈖	⿸广⿱一⿻冂土
𢈗	⿸广⿰⿻⿻口丿乀乚
𢈘	⿸广⿻⿱八⿰丨丨
𢈙	⿸广⿻大从
𢈚	⿸广⿱口口
𢈛	⿸广⿴囗木
𢈜	⿸广⿰爿士
𢈝	⿸广⿺⿻一⿰冫⿰亅丶
𢈞	⿸广⿱⺊⿴囗
𢈟	⿸广⿱厶矢
𢈠	⿸广束
𢈡	⿸广⿳厶八夊
𢈢	⿸广⿻⿱口口丨
𢈣	⿸广⿱㇒⿴囗夊
𢈤	⿸广⿱〾⿻乚一⿻日丨
𢈥	⿸广見
𢈦	⿸广⿱夂⿻三丨
𢈧	⿸广⿰⿰冫丨支
𢈨	⿸广⿱止𣥂
𢈩	⿸广走
𢈪	⿸广⿱⿱一𫝀口
𢈫	⿸广⿸厂⿱二
𢈬	⿸广⿱十目
𢈭	⿸广⿱⺌⺝
𢈮	⿸广⿱⿱⿻口丨一八
𢈯	⿸广身
𢈰	⿸⿸广⿻人十
𢈱	⿸广⿰禾刂
𢈲	⿸广⿱日子
𢈳	⿸广⿱⿱八厶心
𢈴	⿸广⿱亠⿱口小
𢈵	⿸广⿱穴工
𢈶	⿸广虎
𢈷	⿸广⿱田⿱一⿰丿丨
𢈸	⿸广⿱⿱⿵𠆢丶乛心
𢈹	⿸广⿱⿱㇒⿰丨⿱十
𢈺	⿸广⿱亠⿴囗口
𢈻	⿸广⿻⿱一⿺人⺊
𢈼	⿸广⿱⿱亠从十
𢈽	⿸广⿱戈戈
𢈾	⿸广⿰耳又
𢈿	⿸广⿹戈⿱口一
𢉀	⿸广雨
𢉁	⿸广⿰月月
𢉂	⿸广⿱宀⿰丨⿱
𢉃	⿸广⿱𠆢⿱干口
𢉄	⿸广⿰⿱⿵𠆢丶乛欠
𢉅	⿸广金
𢉆	⿸广⿺廴⿻⿻丨二
𢉇	⿸广⿱⿱㇒大⿺人⺊
𢉈	⿸广⿱士⿶凵口
𢉉	⿸广⿱⿻大丷土
𢉊	⿸广⿺廴立
𢉋	⿸广⿰⿻三丨月
𢉌	⿸广⿰⿱⿱⺊一小又
𢉍	⿸广⿱止灬
𢉎	⿸广⿰爿支
𢉏	⿸广⿱爫⿸⿻一丿又
𢉐	⿸广⿱毛灬
𢉑	⿸广⿱⿻土一⺝
𢉒	⿸广⿱⺌⿵冂口
𢉓	⿸广⿱⿱⿸⿱𠂉十一𠃊乚
𢉔	⿸广⿰亻⿱⿱乛丶木
𢉕	⿸广⿷⿱⺈⿸⿻口丿乚丶
𢉖	⿸⿰厶厶
𢉗	⿸广⿱⿻⿱乛亅⿰口又一
𢉘	⿸广⿱火火
𢉙	⿸广⿱⿱⿻一⿰丨丨一火
𢉚	⿸广⿰⿱爫子乚
𢉛	⿸广⿱⿻勿丶心
𢉜	⿸广⿱⿻土㇒日
𢉝	⿸广⿳田一
𢉞	⿸广⿸户⿵冂⿻一⿰丨丨
𢉟	⿸广⿰彳⿸⿰𠄌𫜹
𢉠	⿸广⿻⿱㇒虫冂
𢉡	⿸广⿰亻⿱厶矢
𢉢	⿸广⿰古月
𢉣	⿸广⿰亻⿱口木
𢉤	⿸广⿱⿰力口木
𢉥	⿸广⿱日⿹勹⿺𠃊人
𢉦	⿸广⿱冖車
𢉧	⿸广⿱艹目
𢉨	⿸广⿰束刂
𢉩	⿸广音
𢉪	⿸广⿱⿰止匕木
𢉫	⿸广⿻束
𢉬	⿸广⿱⿱一⿻口⿰丨丨土
𢉭	⿸广⿱丷豕
𢉮	⿸广⿱⿺𠃊八
𢉯	⿸广⿱〾⿻乚一貝
𢉰	⿸广⿱吅土
𢉱	⿸广⿱⿱⿻一⿰丨丨一田
𢉲	⿸广⿱八言
𢉳	⿸广⿱艹⿸⿻一丿口
𢉴	⿸广⿱日⿱一⿺人⺊
𢉵	⿸广⿱山⿰山山
𢉶	⿸⿸广⿰亻寸⿱一大
𢉷	⿸广⿱丷酉
𢉸	⿸广⿰忄⿸⿻一丿火
𢉹	⿸广⿱宀⿱⿱乛丶木
𢉺	⿸且
𢉻	⿸⿰力口
𢉼	⿸⿸广⿻人⺝
𢉽	⿸广⿰木古
𢉾	⿸广⿻山⿰幺幺
𢉿	⿸广馬
𢊀	⿸广⿸⿱㇒丿虎
𢊁	⿸
𢊂	⿸广⿱⿻土一⿴囗口
𢊃	⿸广⿱⿻大从土
𢊄	⿸广⿱隹又
𢊅	⿸广⿺辶⿱㇒⿰丨⿱
𢊆	⿸广⿰禾禾
𢊇	⿸衣
𢊈	⿸广⿱宀⿳八𠆢夕
𢊉	⿸广⿱⿱㇒土⿴囗口
𢊊	⿸广⿱⿻大丷⿻日乚
𢊋	⿸广⿳⿱⿻⿱一一⿰丨丨一八夊
𢊌	⿸广⿱⿻人⺝
𢊍	⿸广⿰豆寸
𢊎	⿸广⿱非人
𢊏	⿸广⿱⿰⿻三丨刀手
𢊐	⿸广⿸⿱㇒丿⿸虍人
𢊑	⿸广⿱⿱⿱⿻一⿰丨丨一㇒⿵⺆⿻二丨
𢊒	⿸广⿱⿰亻木灬
𢊓	⿸广⿱⿰小小日
𢊔	⿸广⿳⺈冂𧰨
𢊕	⿸广⿱⿱㇒⿴囗夊心
𢊖	⿸广⿰氵⿱木
𢊗	⿸广⿱艹⿱日大
𢊘	⿸广⿰⿷匚矢殳
𢊙	⿰⿸广⿻儿⿹勹口
𢊚	⿸广⿰彳⿱止⿺人⺊
𢊛	⿸广⿱山隹
𢊜	⿸广⿰弓⿱
𢊝	⿸广⿰⿻凵丿⿱火火
𢊞	⿸广⿳羽𠆢山
𢊟	⿸广⿸⿻尸丨貝
𢊠	⿸广⿱林口
𢊡	⿸广⿱不見
𢊢	⿸广⿱林⿱一⿻一亅
𢊣	⿸广⿱⿱一⿻口⿰丨丨示
𢊤	⿸广⿳罒一⿺⿸⿻一丿又丶
𢊥	⿸广⿱⿱⺌冖⿱口巾
𢊦	⿸广⿰谷欠
𢊧	⿸广魚
𢊨	⿸广⿱⿰女又糸
𢊩	⿸广⿱厶⿱罒比
𢊪	⿱⿸广⿻人米
𢊫	⿸广⿰土⿱立口
𢊬	⿸广⿱⿴囗口示
𢊭	⿸广⿱⿻丷⿻二人衣
𢊮	⿸广⿱⿱⿻口丨一貝
𢊯	⿸广⿱爫⿵⿰丿⿳𠃍𠃍𠃌灬
𢊰	⿸广⿰⿱⿱⿻一⿰丨丨一⺝攵
𢊱	⿸广⿱⿱十廾貝
𢊲	⿸广⿱木林
𢊳	⿸广⿱⿰止匕束
𢊴	⿸广⿱合吅
𢊵	⿸广⿱白⿱田⿻丨十
𢊶	⿸⿸广林⺼
𢊷	⿸广⿱⿻三人貝
𢊸	⿸广⿱⿴囗禾
𢊹	⿸广⿳厶大貝
𢊺	⿸广⿱⿱一⿰⿰匚丿⿰丨田
𢊻	⿸⿸广⿻臼人小
𢊼	⿸广⿰彡頁
𢊽	⿸广⿱火⿰火火
𢊾	⿸⿸广⿰亻寸貝
𢊿	⿸广⿳从罒夊
𢋀	⿸广⿱⿰止匕言
𢋁	⿸广⿰⿱⺊⿱日匕殳
𢋂	⿸广⿱日⿱⿻土㇒日
𢋃	⿸广⿱⿱亠⿴囗口⿱日一
𢋄	⿸广⿱隹
𢋅	⿸广⿰⿱⿰⺝刂欠
𢋆	⿸广⿰音欠
𢋇	⿸广⿱罒⿱土⿱丷干
𢋈	⿸广⿰鱼禾
𢋉	⿸广⿱⿰禾⿱⿰㇒乛小女
𢋊	⿸广⿱亠⿰乡隹
𢋋	⿸广⿰彳⿰⿳山一几攵
𢋌	⿸广⿳从吅夊
𢋍	⿸广⿱共貝
𢋎	⿸广⿱林示
𢋏	⿸广⿱面木
𢋐	⿸广⿱⿻人貝
𢋑	⿸广⿱⿰夕⿻⿱一𠃋丨
𢋒	⿸广⿱艹⿱隹又
𢋓	⿸广⿳⿱⿻一⿰丨丨一⿻口⿻人丷土
𢋔	⿸广⿱大⿷匚⿱口吅
𢋕	⿸广⿳䒑⿴囗口示
𢋖	⿸广⿰⿸⿻丿口辛
𢋗	⿸⿸广⿰亻隹火
𢋘	⿸广⿰糹隹
𢋙	⿸⿸广林虫
𢋚	⿸⿸广林⿱冖⺝
𢋛	⿸广⿱自⿱田⿱一⿰丿丨
𢋜	⿸广⿰⿱⿱㇒⿻日丿十虫
𢋝	⿸⿸广鬼木
𢋞	⿸广⿰⿱⿵𠆢丶⿱乛丶頁
𢋟	⿸广⿳⿻⿰丨丨比禾
𢋠	⿰⿱巾⿸广⿱氏丶
𢋡	⿸广⿱魚日
𢋢	⿸广⿳⿻木从一⿴囗口
𢋣	⿸广⿱⿱心夊
𢋤	⿸广⿱林⿱心夊
𢋥	⿸广⿱⿰亻⿻乚㇒鳥
𢋦	⿸广⿱⿻土从⿻⿴囗丨从
𢋧	⿸广⿱石⿰石石
𢋨	⿸广⿱黑土
𢋩	⿸⿸广⿰亻隹瓦
𢋪	⿸⿱八⿴𦥑乂
𢋫	⿸广⿳羽𠆢貝
𢋬	⿸广⿰木⿱山隹
𢋭	⿸广⿱⿱艹⿻日⿻冂厶厶
𢋮	⿸广⿰⿱林⺝攵
𢋯	⿸广⿰⿻禾⿻禾
𢋰	⿸广⿱林
𢋱	⿱出⿸
𢋲	⿸⿸广林⿳宀工八
𢋳	⿰⿸广⿱⿱⿻一⿰丨丨一灬⿱⿱亠从十
𢋴	⿰⿳⿻⿱⿻一⿰丨丨一儿冖巾⿸广⿱氏丶
𢋵	⿸⿱艹⿴囗禾
𢋶	⿸广⿱⿰⿸尸口辛子
𢋷	⿸广⿰束⿱⺈貝
𢋸	⿸广⿱⿰匕⿱田共
𢋹	⿸广⿱⿰止止林
𢋺	⿸⿰⿱⿶凵⿻㐅⿳丶⿰丶丶丶匕又
𢋻	⿸广⿰⿳吅从攵
𢋼	⿸广⿰⿸虍豆戈
𢋽	⿸广⿰⿸虍⿱田夕阝
𢋾	⿸广⿱⿻土⿱从从⿴囗口
𢋿	⿸广⿵⿱⿲丿二丨⿲㇒丨丶
𢌀	⿸广⿱⿰⿱土⿱丷干衣
𢌁	⿸⿸广林⿱非一
𢌂	⿸广⿱⿲日⿱一白日夊
𢌃	⿸广⿰⿳吅从欠
𢌄	⿸广⿱⿰目目隹
𢌅	⿸广⿰⿱黑土阝
𢌆	⿸广⿱⿻⿻日丨一⿰虫虫
𢌇	⿸⿸⿰氵去
𢌈	⿸广⿰⿱⿱亠⿶凵㐅⿻冂厶隹
𢌉	⿸广⿳⿱一⿴𦥑自八夊
𢌊	⿰⿸广⿳⿱⿻一⿰丨丨一由八⿱王廾
𢌋	⿸广⿱大⿰⿱⿱⿻一⿰丨丨一木⿱⿱⿻一⿰丨丨一木
𢌌	⿰⿱王廾⿸广⿳⿱⿻一⿰丨丨一由八
𢌍	⿸广⿰⿱丷⿻⿳一八⿰丨丨⿱丷⿻⿳一八⿰丨丨
𢌎	⿸广⿱艹⿱⿰⿱㇒⿰丨⿱辛子
𢌏	⿸广⿰⿱⿱⺌⿵冂口巴隹
𢌐	⿸广⿱⿰束攵⿱非一
𢌑	⿸⿸广林⿱非木
𢌒	⿸广⿱⿰⿱一⿻冂人⿱一⿻冂人鹿
𢌓	⿸广⿰⿱⿳亠口⿴囗口⿱丷干⿱口巴
𢌔	⿸广⿱⿱雨⿲口口口⿻工从
𢌕	⿸广⿱⿲糹言糸⿰⿰𠄌丿⿰丨𠃎
𢌖	⿸广⿰⿱工⿹耳⿱㇒士⿳⿱十罒一心
𢌗	⿺廴十
𢌘	⿺廴彡
𢌙	⿺廴⿱㇒十
𢌚	⿺廴山
𢌛	⿺廴正
𢌜	⿺廴⿱㇒⿻二丿
𢌝	⿺廴⿱𠆢彡
𢌞	⿺廴⿵冂巳
𢌟	⿺廴羽
𢌠	⿺廴⿺⿻十⺝丶
𢌡	⿺廴⿵冂⿱丷口
𢌢	⿺廴⿱夂⿻三丨
𢌣	⿺廴⿰亻⿸⿱𠂉丨二
𢌤	⿰㇋⿸⿻⿻丨二丶
𢌥	⿺廴⿱口王
𢌦	⿺廴⿰⿱㇒士攵
𢌧	⿺廴⿱止日
𢌨	⿺廴⿱止目
𢌩	⿺廴⿱⿱一⿻口⿰丨丨土
𢌪	⿺廴⿱日正
𢌫	⿺廴⿱正目
𢌬	⿻八一
𢌭	⿻廾丶
𢌮	⿱亠廾
𢌯	⿱𠆢廾
𢌰	𢌰
𢌱	⿱⿹一廾
𢌲	⿱山廾
𢌳	⿱⿻夕丶廾
𢌴	⿱⿰巳巳廾
𢌵	⿱戈廾
𢌶	⿱木廾
𢌷	⿱⿻冂人廾
𢌸	⿱⿱亠八廾
𢌹	⿱⿰厶厶廾
𢌺	⿱⿵冂人廾
𢌻	⿱廾
𢌼	⿱⿱乛水廾
𢌽	⿱⿻一⿲丿丨丨⿻一⿲丿丨丨
𢌾	⿱⿻大丷廾
𢌿	⿱田廾
𢍀	⿱⿰丨⿱廾
𢍁	⿱由廾
𢍂	⿱自廾
𢍃	⿱⿱㇒大⿱十廾
𢍄	⿱⿱㇒⿴囗㐅廾
𢍅	⿱廾
𢍆	⿱⿰⿻三丨刀廾
𢍇	⿱⿰土巳廾
𢍈	⿱⿸歹匕廾
𢍉	⿱⿱㇒田廾
𢍊	⿱⿻丷⿻二人廾
𢍋	⿱丷⿱日廾
𢍌	⿱⿴⿱⿻一⿰丨丨一㐅廾
𢍍	⿱⿱㇒廾
𢍎	⿱⿱⿰㇒土口廾
𢍏	⿱⿱㇒米廾
𢍐	⿱廾
𢍑	⿱⿰亻白廾
𢍒	⿱⿱㇒⿲⿱㇒㇒丨⿱⿱㇒㇒乀廾
𢍓	⿱亠⿱目廾
𢍔	⿱⿱日廾
𢍕	⿱⿱⿻丷⿻二人㔾廾
𢍖	⿲丿⿱⿻一由廾丨
𢍗	⿱⿰歹攵廾
𢍘	⿳㇒⿴囗⿻二⿰丿丨廾
𢍙	⿳㇒囗⿴⿰㐅㐅廾
𢍚	⿱⿱田廾
𢍛	⿱⿰⿻一木攵廾
𢍜	⿱⿱丷酉廾
𢍝	⿱⿱⿱一𧰨廾
𢍞	⿱⿱二厶⿱田廾
𢍟	⿳⿰工口廾
𢍠	⿱⿰⿱土土廾
𢍡	⿱⿰氵合廾
𢍢	⿱⿵⿱㇒冂⿱㇒米廾
𢍣	⿱⿱⿻土一糸廾
𢍤	⿰⿱⿻大丷⿻日乚廾
𢍥	⿱⿰⿱䒑⿻凵丿月廾
𢍦	⿱一⿳⿰𠆢𠆢吅廾
𢍧	⿱⿱罒衣廾
𢍨	⿱米⿱去廾
𢍩	⿳从⿴囗从廾
𢍪	⿳⿻夕丶豆廾
𢍫	⿰⿻木⿱尸尸⿱一廾
𢍬	⿳⿶凵口口⿱日廾
𢍭	⿱凹⿰⿱厶廾⿱厶廾
𢍮	⿱⿻工⿱从吅廾
𢍯	⿱⿴𦥑⿵冂⿱一口廾
𢍰	⿱⿱罒⿱土⿱丷干廾
𢍱	⿱⿴𦥑⿱㇒⿴囗㐅廾
𢍲	⿱⿴𦥑酉廾
𢍳	⿱⿰⿱一自⿱一自廾
𢍴	⿱⿰↔⿷匚⿳丨口丨⿷匚⿳丨口丨廾
𢍵	⿱⿰⿱⿻土一糸糸廾
𢍶	⿱⿲糹言糸廾
𢍷	⿱⿰止止⿸⿸⿸厂⿰禾禾日廾
𢍸	⿱⿰魚⿰⿱艹⿹勹口攵廾
𢍹	⿱⿴𦥑⿱㇒⿴囗㐅⿱⿴𦥑⿱㇒⿴囗㐅廾
𢍺	⿺〾⿻乚一丶
𢍻	⿹⿺⿻㇐㇂丶㇉
𢍼	⿱一⿺⿻㇐㇂丶
𢍽	⿰⿸⿻一丿乚⿺⿻㇐㇂丶
𢍾	⿹⿺⿻㇐㇂丶⿱一匕
𢍿	⿰爿⿺⿻㇐㇂丶
𢎀	⿱⿺⿻㇐㇂丶⺝
𢎁	⿹⿺𠃊人
𢎂	⿹⿺⿻㇐㇂丶⿱人人
𢎃	⿹⿺⿻㇐㇂丶日
𢎄	⿰⿹丁口⿺⿻㇐㇂丶
𢎅	⿱⿺⿻㇐㇂丶⿹勹口
𢎆	⿹⿺⿻㇐㇂丶⿱⿱一厶土
𢎇	⿹⿻⿺⿻㇐㇂丶十手
𢎈	⿹⿺⿻㇐㇂丶⿱一目
𢎉	⿹⿺⿻㇐㇂丶⿰⿱𠂉丨⿱𠂉亅
𢎊	⿰⿱又木⿺⿻㇐㇂丶
𢎋	⿰⿱木口⿺⿻㇐㇂丶
𢎌	⿰⿴⿱⿻一⿰丨丨一一⿰亻⿺⿻㇐㇂丶
𢎍	⿰⿱⺈𫜹⿹⿺⿻㇐㇂丶工
𢎎	⿰⿱厶⺝⿹⿺⿻㇐㇂丶工
𢎏	⿰⿹⿺⿻㇐㇂丶二⿻⿱一丨⿵冂⿰入入
𢎐	⿵⿰丿⿺⿻㇐㇂丶⿱二貝
𢎑	⿹⿺⿻㇐㇂丶⿱田共
𢎒	⿰⿱丷⿱⿻⿴囗丨丷日⿺⿻㇐㇂丶
𢎓	⿰⿱⿰⿱⺈𫜹攵灬⿺⿻㇐㇂丶
𢎔	⿺⿹止⿱日⿹勹⿺𠃊人
𢎕	⿰齒⿺⿻㇐㇂丶
𢎖	⿰⿱⿰目目隹⿺⿻㇐㇂丶
𢎗	𢎗
𢎘	⿱𠃌㇉
