㐀	⿱⿰↔⺊⺊一
㓰	⿰⿱一⿶凵田刂
㓱	⿰⿱⿰⺝刂刂
㓲	⿰⿸户⿵冂⿻一⿰丨丨刂
㓳	⿺⿱日⿱一⿺人⺊刂
㓴	⿰⿱⿱一⿱㇒⿵冂⿰丨丨大刂
㓵	⿰⿱吅⿱一⿱一㇉刂
㓶	⿰⿱⿰⿻三丨刀大刂
㓷	⿰⿱自木刂
㓸	⿰⿻⿰匚刂
㓹	⿰⿸厂⿱火火刂
㓺	⿰⿸虍文刂
㓻	⿰⿱罒正刂
㓼	⿰⿱木⿱𠆢⿴亅刂
㓽	⿰⿱山⿱宀示刂
㓾	⿰⿸尸⿱⿰冫⿰亅牛刂
㓿	⿰⿳禾𠆢水刂
㔀	⿰⿱日⿱亠⿱口小刂
㔁	⿰⿱⿰豆刂
㔂	⿰⿱米⿰夕⿻⿱一𠃋丨刂
㔃	⿱⿰糹⿱⺈巴刀
㔄	⿰⿱⿱一⿻口⿰丨丨米刂
㔅	⿰⿻⿻丨⿻⿰片爿一刂
㔆	⿰⿱⿰⿱一⿸⿻𠃋丿乚⿱一⿸⿻𠃋丿乚日刂
㔇	⿰⿱⿰⿰弓殳刂
㔈	⿰⿱艹非刂
㔉	⿰⿸尸⿻⿱㇒虫冂刂
㔊	⿰⿱⿱亠⿴囗口⿱日一刂
㔋	⿰⿱⿰⿷匚⿳丨丨⿱𠂉丶皿刂
㔌	⿰⿱⿰耳又⿱㇒⿰⿱㇒㇒⿰丨刂
㔍	⿰⿱𥫗⿱目廾刂
㔎	⿱⿰⿱⿻凵丿⿱㇒⿰丨⿱辛刀
㔏	⿰⿱石⿰石石刂
㔐	⿰⿳𥫗一⿱非一刂
㔑	⿱⿱艹⿰⿱㇒⿰丨⿱辛刀
㔒	⿰⿱山⿱隹⿵冂⿱八口刂
㔓	⿰⿱㇒十力
㔔	⿱⿰力口㇣
㔕	⿰⿳𠂉一⺄力
㔖	⿱⿰力口𠃍
㔗	⿰⿻弓⿰丿丨力
㔘	⿰出力
㔙	⿰⿱丷⿱一廾力
㔚	⿰舌力
㔛	⿱⿱士口力
㔜	⿰⿱爫子力
㔝	⿰⿻⿱一丨⿵冂⿰入入力
㔞	⿰⿻⿱㇒十⿰匕力
㔟	⿱⿰生力
㔠	⿰⿱日⿹勹⿺𠃊人力
㔡	⿰⿱⿱㇒⿴囗㐅比力
㔢	⿱⿰糹⿱⺈巴力
